gene	drug	regulatory approval	indication	interaction score
BRAF	PAN-RAF INHIBITOR LY3009120	Not Approved	""	0.2610189927944277
BRAF	VORINOSTAT	Approved	antineoplastic agent	0.01398316032827291
BRAF	BI-3406	Not Approved	""	0.1740126618629517
BRAF	BRAF INHIBITOR	Not Approved	""	0.2610189927944277
BRAF	MEK INHIBITOR RO4987655	Not Approved	""	0.104407597117771
BRAF	REGORAFENIB	Approved	antineoplastic agent	0.0711869980348439
BRAF	TEMSIROLIMUS	Approved	antineoplastic agent	0.05220379855888554
BRAF	NIVOLUMAB	Approved	antineoplastic agent	0.1003919203055491
BRAF	LENVATINIB	Approved	antineoplastic agent	0.04121352517806753
BRAF	P53-HDM2 INTERACTION INHIBITOR MI-773	Not Approved	""	0.1740126618629517
BRAF	SB590885	Not Approved	""	0.2610189927944277
BRAF	PERTUZUMAB	Approved	antineoplastic agent	0.03262737409930346
BRAF	CCT241161	Not Approved	""	0.1740126618629517
BRAF	BELVARAFENIB	Not Approved	""	0.3915284891916415
BRAF	AZD3514	Not Approved	""	0.2610189927944277
BRAF	AKT INHIBITOR MK2206	Not Approved	""	0.07457685508412219
BRAF	DOXORUBICIN LIPOSOME	Approved	""	0.1740126618629517
BRAF	RINETERKIB	Not Approved	""	0.1740126618629517
BRAF	MOCETINOSTAT	Not Approved	antineoplastic agent	0.03262737409930346
BRAF	IDELALISIB	Approved	antineoplastic agent	0.05800422062098392
BRAF	PIMASERTIB	Not Approved	""	0.1305094963972138
BRAF	ZM336372	Not Approved	""	0.07457685508412219
BRAF	ALPELISIB	Approved	""	0.06525474819860692
BRAF	LEUCOVORIN CALCIUM	Approved	adjuvant to chemotherapy	0.03625263788811495
BRAF	SCH772984	Not Approved	""	0.3480253237259035
BRAF	DENOSUMAB	Approved	antiosteoporotic agent	0.1740126618629517
BRAF	CRIZOTINIB	Approved	antineoplastic agent	0.0104407597117771
BRAF	GEDATOLISIB	Not Approved	""	0.03866948041398928
BRAF	BRAFV600/PI3K INHIBITOR ASN003	Not Approved	""	0.1740126618629517
BRAF	OMIPALISIB	Not Approved	""	0.02610189927944276
BRAF	ALECTINIB	Approved	""	0.07830569783832829
BRAF	BUPARLISIB	Not Approved	""	0.03132227913533132
BRAF	ULIXERTINIB	Not Approved	""	0.3132227913533131
BRAF	PEMBROLIZUMAB	Approved	""	0.06327733158652792
BRAF	BEROTERKIB ANHYDROUS	Not Approved	""	0.1740126618629517
BRAF	MEK INHIBITOR IMM-6-415	Not Approved	""	0.2610189927944277
BRAF	XL-281	Not Approved	""	0.1305094963972138
BRAF	COMMENSAL BACTERIAL STRAIN FORMULATION VE800	Not Approved	""	0.2610189927944277
BRAF	NAB-PACLITAXEL	Not Approved	""	0.2610189927944277
BRAF	AFATINIB	Approved	antineoplastic agent	0.05800422062098392
BRAF	E6201	Not Approved	""	0.1491537101682443
BRAF	NAVTEMADLIN	Not Approved	""	0.1305094963972138
BRAF	NVP-AEW541	Not Approved	""	0.1305094963972138
BRAF	TEMUTERKIB	Not Approved	""	0.1491537101682443
BRAF	AZD6482	Not Approved	""	0.05800422062098392
BRAF	XL281	Not Approved	antineoplastic agent	0.1740126618629517
BRAF	RIFAMPIN	Approved	""	0.01864421377103054
