node_id;label;type;degree
@CHEMICAL_Tritium;@CHEMICAL_Tritium;chemical;294.0
@CHEMICAL_Benzene;@CHEMICAL_Benzene;chemical;293.0
@CHEMICAL_Chlorine;@CHEMICAL_Chlorine;chemical;291.0
@CHEMICAL_NAD;@CHEMICAL_NAD;chemical;291.0
@CHEMICAL_Polysaccharides;@CHEMICAL_Polysaccharides;chemical;289.0
@CHEMICAL_Chlorogenic_Acid;@CHEMICAL_Chlorogenic_Acid;chemical;287.0
@CHEMICAL_Magnesium;@CHEMICAL_Magnesium;chemical;284.0
@CHEMICAL_coenzyme_Q10;@CHEMICAL_coenzyme_Q10;chemical;283.0
@CHEMICAL_Norepinephrine;@CHEMICAL_Norepinephrine;chemical;280.0
@CHEMICAL_Levonorgestrel;@CHEMICAL_Levonorgestrel;chemical;278.0
@CHEMICAL_Benzo(a)pyrene;@CHEMICAL_Benzo(a)pyrene;chemical;277.0
@CHEMICAL_Manganese;@CHEMICAL_Manganese;chemical;277.0
@CHEMICAL_Sulfur;@CHEMICAL_Sulfur;chemical;275.0
@CHEMICAL_Levodopa;@CHEMICAL_Levodopa;chemical;271.0
@CHEMICAL_Oxalates;@CHEMICAL_Oxalates;chemical;269.0
@CHEMICAL_Polycyclic_Aromatic_Hydrocarbons;@CHEMICAL_Polycyclic_Aromatic_Hydrocarbons;chemical;268.0
@CHEMICAL_Prednisolone;@CHEMICAL_Prednisolone;chemical;266.0
@CHEMICAL_alpha_Tocopherol;@CHEMICAL_alpha_Tocopherol;chemical;264.0
@CHEMICAL_Phosphates;@CHEMICAL_Phosphates;chemical;263.0
@CHEMICAL_Catechin;@CHEMICAL_Catechin;chemical;260.0
@CHEMICAL_Formaldehyde;@CHEMICAL_Formaldehyde;chemical;260.0
@CHEMICAL_Apigenin;@CHEMICAL_Apigenin;chemical;259.0
@CHEMICAL_Berberine;@CHEMICAL_Berberine;chemical;257.0
@CHEMICAL_Cyclosporine;@CHEMICAL_Cyclosporine;chemical;256.0
@CHEMICAL_Acetic_Acid;@CHEMICAL_Acetic_Acid;chemical;255.0
@CHEMICAL_Gold;@CHEMICAL_Gold;chemical;255.0
@CHEMICAL_Valproic_Acid;@CHEMICAL_Valproic_Acid;chemical;254.0
@CHEMICAL_Carbon_Monoxide;@CHEMICAL_Carbon_Monoxide;chemical;252.0
@CHEMICAL_Choline;@CHEMICAL_Choline;chemical;252.0
@CHEMICAL_2_5_dihydroxybenzoic_acid;@CHEMICAL_2_5_dihydroxybenzoic_acid;chemical;251.0
@CHEMICAL_Gallic_Acid;@CHEMICAL_Gallic_Acid;chemical;251.0
@CHEMICAL_N_acetylaspartate;@CHEMICAL_N_acetylaspartate;chemical;251.0
@CHEMICAL_Dioxins;@CHEMICAL_Dioxins;chemical;250.0
@CHEMICAL_Heparin;@CHEMICAL_Heparin;chemical;249.0
@CHEMICAL_Calcium_Oxalate;@CHEMICAL_Calcium_Oxalate;chemical;248.0
@CHEMICAL_Diphosphonates;@CHEMICAL_Diphosphonates;chemical;248.0
@CHEMICAL_Ramipril;@CHEMICAL_Ramipril;chemical;247.0
@CHEMICAL_Pyruvic_Acid;@CHEMICAL_Pyruvic_Acid;chemical;246.0
@CHEMICAL_Free_Radicals;@CHEMICAL_Free_Radicals;chemical;245.0
@CHEMICAL_Bilirubin;@CHEMICAL_Bilirubin;chemical;242.0
@CHEMICAL_ochratoxin_A;@CHEMICAL_ochratoxin_A;chemical;241.0
@CHEMICAL_Valine;@CHEMICAL_Valine;chemical;240.0
@CHEMICAL_Silver;@CHEMICAL_Silver;chemical;238.0
@CHEMICAL_Oxalic_Acid;@CHEMICAL_Oxalic_Acid;chemical;236.0
@CHEMICAL_Prednisone;@CHEMICAL_Prednisone;chemical;236.0
@CHEMICAL_Sugars;@CHEMICAL_Sugars;chemical;236.0
@CHEMICAL_Tetracycline;@CHEMICAL_Tetracycline;chemical;236.0
@CHEMICAL_Caffeine;@CHEMICAL_Caffeine;chemical;234.0
@CHEMICAL_Homogentisic_Acid;@CHEMICAL_Homogentisic_Acid;chemical;234.0
@CHEMICAL_Carnitine;@CHEMICAL_Carnitine;chemical;231.0
@CHEMICAL_Ammonia;@CHEMICAL_Ammonia;chemical;230.0
@CHEMICAL_Creatine;@CHEMICAL_Creatine;chemical;230.0
