gene	drug	regulatory approval	indication	interaction score
APEX1	PROPAZINE	Not Approved	""	0.1311653230122752
APEX1	DAUNORUBICIN LIPOSOMAL	Approved	antineoplastic agent	0.002882754351918136
APEX1	PURPUROGALLIN	Not Approved	""	0.007286962389570844
APEX1	CHEMBL:CHEMBL175266	Not Approved	""	0.01873790328746788
APEX1	SB 216763	Not Approved	""	0.01748870973497002
APEX1	BENSERAZIDE HYDROCHLORIDE	Not Approved	""	0.0163956653765344
APEX1	ERYTHROSINE	Approved	""	0.02914784955828337
APEX1	6-HYDROXYMELATONIN	Not Approved	""	0.04372177433742506
APEX1	FUMARPROTOCETRARIC ACID	Not Approved	""	0.02186088716871253
APEX1	ROSMARINIC ACID	Not Approved	""	0.0327913307530688
APEX1	ADP&BETA;S	Not Approved	""	0.0655826615061376
APEX1	2MESADP	Not Approved	""	0.08744354867485013
APEX1	GOSSYPOL	Not Approved	""	0.005465221792178133
APEX1	PROPANTHELINE BROMIDE	Approved	""	0.05246612920491007
APEX1	HUMAN CHORIONIC GONADOTROPIN	Approved	""	0.02761375221311056
APEX1	CYCLOBENZAPRINE	Approved	Tricyclic,Antidepressive Agents	0.02914784955828337
APEX1	CHEMBL:CHEMBL598477	Not Approved	""	0.05246612920491007
APEX1	TICAGRELOR	Approved	antithrombotic	0.02914784955828337
APEX1	INDAPAMIDE	Approved	Antihypertensive Agents; Diuretics	0.05246612920491007
APEX1	INS49266	Not Approved	""	0.2623306460245504
APEX1	CHEMBL:CHEMBL244707	Not Approved	""	0.0238482405476864
APEX1	COMPOUND 58L [PMID: 30843696]	Not Approved	""	0.2623306460245504
APEX1	CHEMBL:CHEMBL1305393	Not Approved	""	0.05246612920491007
APEX1	EQUILIN	Not Approved	""	0.0655826615061376
APEX1	CHEMBL:CHEMBL56393	Not Approved	""	0.009368951643733943
APEX1	METHANESULFONIC ACID METHYL ESTER	Not Approved	""	0.2623306460245504
APEX1	ISOKAEMPFERIDE	Not Approved	""	0.0238482405476864
APEX1	RHEIN	Not Approved	""	0.0119241202738432
APEX1	GALLIC ACID METHYL ESTER	Not Approved	""	0.04372177433742506
APEX1	METHOTREXATE	Approved	DMARD	0.00238482405476864
APEX1	REGRELOR	Not Approved	antithrombotic	0.1311653230122752
APEX1	POTASSIUM DICHROMATE	Not Approved	""	0.05246612920491007
APEX1	APX-3330	Not Approved	""	0.5246612920491008
APEX1	CEFAMANDOLE SODIUM	Not Approved	""	0.01873790328746788
APEX1	TRANSPLATIN	Not Approved	""	0.03747580657493577
APEX1	HOMIDIUM BROMIDE	Not Approved	""	0.009045884345674151
APEX1	AMPICILLIN TRIHYDRATE	Approved	""	0.08744354867485013
APEX1	CEFIXIME ANHYDROUS	Approved	""	0.0238482405476864
APEX1	PROPIDIUM	Not Approved	""	0.1311653230122752
APEX1	CISPLATIN	Approved	""	0.005353686653562253
APEX1	JP1302	Not Approved	""	0.02914784955828337
APEX1	AR-C67085	Not Approved	""	0.1311653230122752
APEX1	CHEMBL:CHEMBL179611	Not Approved	""	0.0327913307530688
APEX1	COMPOUND 20O [PMID: 22984835]	Not Approved	""	0.2623306460245504
APEX1	HYPERICIN	Not Approved	""	0.02017928046342695
APEX1	ADP	Not Approved	""	0.03747580657493577
APEX1	CHEMBL:CHEMBL1451216	Not Approved	""	0.01543121447203237
APEX1	CEPHAPIRIN SODIUM	Approved	""	0.02017928046342695
APEX1	GOSSYPETIN	Not Approved	""	0.02623306460245503
APEX1	CARMINE	Not Approved	""	0.02186088716871253
APEX1	ALTENUSIN	Not Approved	""	0.02623306460245503
APEX1	QUINACRINE DIHYDROCHLORIDE	Not Approved	""	0.02186088716871253
APEX1	CHEMBL:CHEMBL1256813	Not Approved	""	0.0238482405476864
APEX1	NBQX	Not Approved	""	0.0163956653765344
APEX1	CHEMBL:CHEMBL578741	Not Approved	""	0.01249193552497859
APEX1	PROTOPORPHYRIN	Not Approved	""	0.01049322584098201
APEX1	ERBSTATIN	Not Approved	""	0.01873790328746788
APEX1	OXIDOPAMINE	Not Approved	""	0.01311653230122751
APEX1	HISPIDIN	Not Approved	""	0.02914784955828337
APEX1	CHEMBL:CHEMBL599013	Not Approved	""	0.01873790328746788
APEX1	SHIKONIN	Not Approved	""	0.02623306460245503
APEX1	LEVONORDEFRIN	Approved	""	0.0238482405476864
APEX1	(+/-)-ERIODICTYOL	Not Approved	""	0.02186088716871253
APEX1	CHEMBL:CHEMBL136344	Not Approved	""	0.03747580657493577
APEX1	AURINTRICARBOXYLIC ACID	Not Approved	""	0.008462278904017755
APEX1	CHEMBL:CHEMBL515252	Not Approved	""	0.01873790328746788
APEX1	RECOMBINANT 70-KD HEAT-SHOCK PROTEIN	Not Approved	""	0.05246612920491007
APEX1	PURPURIN	Not Approved	""	0.01249193552497859
APEX1	CONGO RED	Not Approved	""	0.01748870973497002
APEX1	AP4A	Not Approved	""	0.08744354867485013
APEX1	CHEMBL:CHEMBL533293	Not Approved	""	0.0238482405476864
APEX1	CEFOTAXIME SODIUM	Approved	""	0.01748870973497002
APEX1	SENNOSIDE A	Not Approved	""	0.2623306460245504
APEX1	CHEMBL:CHEMBL19954	Not Approved	""	0.01457392477914168
APEX1	KOPARIN	Not Approved	""	0.02623306460245503
APEX1	DEPHOSTATIN	Not Approved	""	0.01049322584098201
APEX1	AMPICILLIN (ANHYDROUS)	Approved	""	0.0238482405476864
APEX1	HYCANTHONE	Not Approved	""	0.01380687610655528
APEX1	EPIGALLOCATECHIN-3-GALLATE	Not Approved	""	0.01457392477914168
APEX1	SURAMIN HEXASODIUM	Not Approved	""	0.02186088716871253
APEX1	MORIN	Not Approved	""	0.01380687610655528
APEX1	ROSE BENGAL	Not Approved	""	0.03747580657493577
APEX1	COMPOUND 4 [PMID: 23083103]	Not Approved	""	0.2623306460245504
APEX1	CLOPIDOGREL (ACTIVE METABOLITE)	Not Approved	""	0.2623306460245504
APEX1	EUFLAVINE	Not Approved	""	0.0163956653765344
APEX1	COMPOUND 4 [PMID: 22984835]	Not Approved	""	0.2623306460245504
APEX1	DCMU	Not Approved	""	0.2623306460245504
APEX1	IOFETAMINE HYDROCHLORIDE	Not Approved	""	0.1311653230122752
APEX1	ELLIPTECINE	Not Approved	""	0.0081978326882672
APEX1	JUGLONE	Not Approved	""	0.01311653230122751
APEX1	CHEMBL:CHEMBL166486	Not Approved	""	0.0327913307530688
APEX1	3,4-DIHYDROXYPHENYLACETIC ACID	Not Approved	""	0.05246612920491007
APEX1	MUNDULONE ACETATE	Not Approved	""	0.08744354867485013
APEX1	CADMIUM ACETATE	Not Approved	""	0.0327913307530688
APEX1	ASTERRIC ACID	Not Approved	""	0.01457392477914168
APEX1	CHEMBL:CHEMBL1601846	Not Approved	""	0.01140568026193697
APEX1	L-NOREPINEPHRINE	Not Approved	""	0.0327913307530688
APEX1	DEXPROPRANOLOL HYDROCHLORIDE	Not Approved	""	0.1311653230122752
APEX1	BX 048	Not Approved	""	0.2623306460245504
APEX1	PYROGALLOL	Approved	""	0.01748870973497002
APEX1	METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE	Not Approved	""	0.02914784955828337
APEX1	CADMIUM DICHLORIDE	Not Approved	""	0.0238482405476864
APEX1	STICTIC ACID	Not Approved	""	0.01457392477914168
APEX1	DAUNORUBICIN HYDROCHLORIDE	Approved	""	0.007949413515895466
APEX1	NORDEFRIN	Not Approved	""	0.05246612920491007
APEX1	DOPAMINE	Approved	""	0.009045884345674151
APEX1	QUERCETIN	Approved	""	0.003320641088918359
APEX1	AZD1283	Not Approved	""	0.2623306460245504
APEX1	METHYLDOPA ANHYDROUS	Approved	Antihypertensive Agents	0.008462278904017755
APEX1	CATECHOL	Not Approved	""	0.0119241202738432
APEX1	EUPAFOLIN	Not Approved	""	0.0163956653765344
APEX1	TETROQUINONE	Not Approved	""	0.03747580657493577
APEX1	FLUORESCEIN	Approved	""	0.03747580657493577
APEX1	APIGENIN	Approved	""	0.01008964023171347
APEX1	FLUOROURACIL	Approved	""	0.004522942172837076
APEX1	METHYLDOPA (RACEMIC)	Not Approved	""	0.02186088716871253
APEX1	[3H]PSB-0413	Not Approved	""	0.2623306460245504
APEX1	EUFLAVINE	Not Approved	""	0.2623306460245504
APEX1	EPINEPHRINE	Approved	anestethic	0.006558266150613759
APEX1	NIMESULIDE	Not Approved	""	0.01873790328746788
APEX1	CHEMBL:CHEMBL211670	Not Approved	""	0.02017928046342695
APEX1	BX 667	Not Approved	""	0.2623306460245504
APEX1	PCMBS	Not Approved	""	0.1311653230122752
APEX1	CEPHALORIDINE	Not Approved	""	0.2623306460245504
APEX1	LIPOIC ACID, ALPHA	Not Approved	""	0.01748870973497002
APEX1	AVOBENZONE	Approved	""	0.0655826615061376
APEX1	PSB-0739	Not Approved	""	0.2623306460245504
APEX1	DAPHNETIN	Not Approved	""	0.02914784955828337
APEX1	OXIDOPAMINE HYDROCHLORIDE	Not Approved	""	0.01543121447203237
ARF5	SKA-31	Not Approved	""	0.6525474819860692
ARF5	NS309	Not Approved	""	0.6525474819860692
ARF5	TROPICAMIDE	Approved	Diagnostic Agents; Mydriatics,Skeletal,Muscle Relaxants	0.2372899934494797
ARF5	RILUZOLE	Approved	for treatment of ALS	0.1134865186062729
ARF5	LEI-DAB7	Not Approved	""	0.8700633093147588
ARF5	CA2+	Not Approved	""	0.06525474819860691
ARF5	UCL1848	Not Approved	""	1.305094963972138
ARF5	EBIO	Not Approved	""	0.6525474819860692
ARF5	TETRAMETHYLAMMONIUM	Not Approved	""	0.1450105515524598
ARF5	B-TPMF	Not Approved	""	2.610189927944276
ARF5	GW542573X	Not Approved	""	2.610189927944276
ARF5	SKA-20	Not Approved	""	2.610189927944276
ARF5	DEQUALINIUM	Approved	""	0.1631368704965173
ARF5	APAMIN	Not Approved	""	0.8700633093147588
ARF5	UCL1684	Not Approved	""	0.8700633093147588
ARF5	LEIUROTOXIN I	Not Approved	""	0.8700633093147588
ARF5	TAMAPIN	Not Approved	""	2.610189927944276
ARF5	BICUCULLINE	Not Approved	""	0.372884275420611
ARF5	CM-TPMF	Not Approved	""	2.610189927944276
ARF5	NS8593	Not Approved	""	0.8700633093147588
TERT	TELOMESTATIN	Not Approved	""	2.983074203364887
TERT	RECOMBINANT VASCULAR ENDOTHELIAL GROWTH FACTOR	Not Approved	""	0.2130767288117777
TERT	ISOBONDUCELLIN	Not Approved	""	2.983074203364887
TERT	IMETELSTAT	Approved	antineoplastic agent	2.983074203364887
TERT	CHEMBL:CHEMBL481161	Not Approved	""	2.983074203364887
TERT	TERTOMOTIDE	Not Approved	antineoplastic agent	2.983074203364887
TERT	CHEMBL:CHEMBL190474	Not Approved	""	2.983074203364887
TERT	ERIBULIN MESYLATE	Approved	""	0.4971790338941478
TERT	CHEMBL:CHEMBL608862	Not Approved	""	2.983074203364887
TERT	CHEMBL:CHEMBL520095	Not Approved	""	2.983074203364887
TERT	9,10-PHENANTHRENEQUINONE	Not Approved	""	0.1147336232063418
TERT	ARSENIC TRIOXIDE	Approved	antineoplastic agent	0.1147336232063418
TERT	RALOXIFENE HYDROCHLORIDE	Approved	Hormone Replacement Agents	0.05966148406729774
TERT	CHEMBL:CHEMBL2336666	Not Approved	""	2.983074203364887
TERT	IODINE I-131	Approved	""	1.491537101682443
TERT	EPITALON	Not Approved	""	1.491537101682443
TERT	CHEMBL:CHEMBL89250	Not Approved	""	2.983074203364887
TERT	CHEMBL:CHEMBL144757	Not Approved	""	2.983074203364887
TERT	CHEMBL:CHEMBL17442	Not Approved	""	2.983074203364887
TERT	HTERT VACCINE V934/V935	Not Approved	antineoplastic agent	0.4971790338941478
TERT	HTERT-LAMP MRNA-LOADED AUTOLOGOUS DENDRITIC CELL VACCINE GRNVAC1	Not Approved	""	1.491537101682443
TERT	CHEMBL:CHEMBL89977	Not Approved	""	2.983074203364887
TERT	CHEMBL:CHEMBL1254091	Not Approved	""	2.983074203364887
TERT	BERBERINE	Not Approved	""	0.2983074203364887
TERT	DENDRITIC CELL VACCINE	Not Approved	""	0.7457685508412218
TERT	IMETELSTAT SODIUM	Approved	""	1.491537101682443
TERT	BDNF	Not Approved	""	0.4971790338941478
TERT	CHEMBL:CHEMBL481160	Not Approved	""	2.983074203364887
TERT	SURATADENOTUREV	Not Approved	""	1.491537101682443
TERT	ANTISENSE OLIGONUCLEOTIDES	Not Approved	""	0.09039618798075416
TERT	CHEMBL:CHEMBL91163	Not Approved	""	2.983074203364887
TERT	OMACETAXINE MEPESUCCINATE	Approved	antineoplastic agent	0.5966148406729774
TERT	HLA-A*0201 RESTRICTED TERT(572Y)/TERT(572) PEPTIDES VACCINE VX-001	Not Approved	""	1.491537101682443
TERT	CHEMBL:CHEMBL457246	Not Approved	""	2.983074203364887
TERT	SODIUM METAARSENITE	Not Approved	""	2.983074203364887
SLC13A5	BI01383298	Not Approved	""	10.4407597117771
SLC13A5	PF-06761281	Not Approved	""	10.4407597117771
SLC13A5	COMPOUND 7 [PMID: 37428122]	Not Approved	""	10.4407597117771
SLC13A5	ETG-5773	Not Approved	""	10.4407597117771
SLC13A5	PF-06649298	Not Approved	""	10.4407597117771
ADRA1D	PRAZOSIN	Approved	Antihypertensive Agents; antispasmodics	0.1606270724888785
ADRA1D	EPINEPHRINE	Approved	anestethic	0.06023515218332945
ADRA1D	MODAFINIL	Approved	central nervous system stimulant	0.1784745249876428
ADRA1D	ISOPROTERENOL	Approved	Bronchodilator Agents; Cardiotonic Agents	0.02509798007638727
ADRA1D	MOXISYLYTE	Approved	""	0.2294672464126836
ADRA1D	METHOXAMINE	Approved	Antihypotensive Agents; Vasoconstrictor Agents	0.1338558937407321
ADRA1D	TERAZOSIN	Approved	Antineoplastic Agents; antihypertensive agents	0.1853389297948598
ADRA1D	TOLAZOLINE HYDROCHLORIDE	Approved	""	0.08923726249382141
ADRA1D	PROPIOMAZINE	Approved	Hypnotics and Sedatives	0.1147336232063418
ADRA1D	TETRAHYDROZOLINE HYDROCHLORIDE	Approved	""	0.1147336232063418
ADRA1D	RAUWOLFIA SERPENTINA (USP)	Approved	Antipsychotic Agents; Antihypertensive Agents	0.1003919203055491
ADRA1D	DAPIPRAZOLE	Approved	ophthalmological agent	0.3212541449777571
ADRA1D	ALFUZOSIN	Approved	for treatment of benign prostatic hyperplasia	0.2677117874814642
ADRA1D	PHENYLEPHRINE	Approved	for treatment of incontinence	0.1003919203055491
ADRA1D	CARVEDILOL	Approved	cardiovascular agent,for treatment of congestive heart failure	0.0617796432649533
ADRA1D	BETHANIDINE	Approved	Antihypertensive Agents	0.2007838406110982
ADRA1D	TERAZOSIN HYDROCHLORIDE	Approved	""	0.1338558937407321
ADRA1D	DROXIDOPA	Approved	""	0.08031353624443928
ADRA1D	LABETALOL	Approved	Antihypertensive Agents	0.0446186312469107
ADRA1D	MEPHENTERMINE SULFATE	Approved	""	0.08923726249382141
ADRA1D	OXYMETAZOLINE HYDROCHLORIDE	Approved	analgesic	0.04015676812221964
ADRA1D	AJMALICINE	Approved	""	0.0617796432649533
ADRA1D	PROMAZINE	Approved	Antiemetics; Antipsychotic Agents	0.08454056446783081
ADRA1D	EPHEDRINE HYDROCHLORIDE	Approved	""	0.08923726249382141
ADRA1D	METARAMINOL BITARTRATE	Approved	""	0.2677117874814642
ADRA1D	SERTINDOLE	Approved	antipsychotic agent	0.1147336232063418
ADRA1D	DOPAMINE	Approved	""	0.02769432284291009
ADRA1D	XYLOMETAZOLINE	Approved	""	0.08031353624443928
ADRA1D	PERICIAZINE	Not Approved	Antipsychotic Agents	0.3212541449777571
ADRA1D	ERGOTAMINE	Approved	Anti-migraine Agents	0.07301230567676298
ADRA1D	EPHEDRINE	Approved	Central Nervous System Stimulants	0.04724325661437605
ADRA1D	NOREPINEPHRINE	Approved	Antihypotensive Agents; Vasoconstrictor Agents	0.07529394022916182
ADRA1D	METHOTRIMEPRAZINE	Approved	Antipsychotic Agents	0.1147336232063418
ADRA1D	DIPIVEFRIN HYDROCHLORIDE	Approved	""	0.08923726249382141
ADRA1D	PHENOXYBENZAMINE HYDROCHLORIDE	Approved	""	0.08031353624443928
ADRA1D	BUNAZOSIN	Not Approved	""	0.5354235749629285
ADRA1D	NAFTOPIDIL	Approved	""	0.1338558937407321
ADRA1D	EPINEPHRINE BITARTRATE	Approved	""	0.04724325661437605
ADRA1D	MIDODRINE	Approved	Antihypotensive Agents; Vasoconstrictor Agents	0.2007838406110982
ADRA1D	METHOXAMINE HYDROCHLORIDE	Approved	""	0.2677117874814642
ADRA1D	NOREPINEPHRINE BITARTRATE	Approved	""	0.08923726249382141
ADRA1D	DEBRISOQUIN	Approved	Antihypertensive Agents	0.2294672464126836
ADRA1D	PHENYLEPHRINE HYDROCHLORIDE	Approved	""	0.2007838406110982
ADRA1D	PHENTOLAMINE MESYLATE	Approved	""	0.08923726249382141
ADRA1D	METOPROLOL SUCCINATE	Approved	""	0.8031353624443928
ADRA1D	VASOACTIVE INTESTINAL PEPTIDE	Approved	for treatment of erectile dysfunction	0.1003919203055491
ADRA1D	TRIMIPRAMINE MALEATE	Approved	""	0.1003919203055491
ADRA1D	BUCINDOLOL HYDROCHLORIDE	Not Approved	for treatment of heart failure	0.1147336232063418
